,게시글 ID,작성일,작성자,제목,본문
0,333976,2021.01.04. 15:44,병재미래와이프,안녕하세요 오랜만이네영,제 게시글 보시면 알겠지만 어느덧 수술한지 일년이 훌쩍 넘었어용하지만 너무나 맘에 들었떤 수술도 아니기도했고 ㅜㅜ그래서 결국 재수술 및 시술을 결정했씁디ㅏㅜㅜ평소에도 다이어트한약먹고있었는데 이번에 약으로 바꾸고코로나터진김에 열심히해볼려구요아쉽게도 제가 했던 병원에서 재수술은 아닌데요여러분같으면 이미 유명하지는 않지만 제 주변에 여럿 성공적인 지방흡입을 거뒀던 병원 또는유명하지만 그만큼 찾아보면 블랙 글들도 많고 광고도 많이하는곳 어디가시겠나요?결국 정한 곳이 두군대인데ㅜㅜ 고민되서요!
1,333950,2021.01.04. 03:18,이번생엔,복부무한람스 5개월차! 앞자리 두번바뀌었습니당~,시술전 vs 5개월차복부무한람스받고 5개월간 몸무게 앞자리 2번 바뀌고 ㅎㅎ 람스 시작하고 총 감량키로수 20kg까지 머지 않았습니당ㅎㅎ 시술전 vs 5개월차복부하고 나서 붙는 옷도 짧은 옷도 입고 싶었던 옷 맘껏 입는게 젤 행복합니다!!ㅎㅎ2021년에는 목표체중까지 감량 성공하고건강하게 유지하는 것이 목표입니다~~다들 새해에도 더 예쁘고 건강하세요😊
2,333891,2021.01.03. 11:15,서브웨이좋아,체충 가격대가 얼마정도 하나요?,ㅠㅠ오랜만에 람스 후관리 받을까 하는데 (바본이 안없어져서ㅠㅠ) 체충이 제일 비쌌던걸로 기억하거든요 1회당 얼마였는지 기억 나시는분 ㅠㅠㅠ
3,333823,2021.01.02. 11:47,나너엉,지방추출주사 5주차 후기입니다~,"1주차(왼)       /       5주차(오)왼쪽 사진이 1주차고 오른쪽 사진이 오늘인 5주차입니다 보시다시피 승마살이 미친듯이 많이 빠졌어요 !!지방추출주사 시술로 다리라인도 많이 예뻐지고 바지도 자신감 있게 입고 옷도 사고 싶은 옷 마음껏 입고 있어요ㅎㅎ이렇게 효과를 눈으로, 수치로 직접 보니까 몸무게 감량도 욕심나게 되고 하길 너무 잘한 것 같아요ㅎㅎ3개월까지가 황금기니까 계속 후관리 받으면서 더 예쁜 다리 만들 생각이예요😊이렇게 주수마다 확인하니까 너무 뿌듯하네요 ㅠ 🥺"
4,333726,2020.12.31. 23:29,나다시돌아갈래,허벅지지방추출시술 원래 이렇게 빠지는 건가요?,12월 초 허벅지지방추출시술을 받았는데빠지는 속도가 원래 이런 건지 궁금하네여!!<시술 전 & 시술 후 2일>허벅지 : 54.9cm  / 몸무게 : 52.2kg <시술 후 1 주차>허벅지 : 53.8cm / 몸무게 : 49.9kg<시술 후 2 주차>허벅지 : 53.4cm / 몸무게 : 50.5kg<시술 후 3 주차> 허벅지 : 52.8cm / 몸무게 : 49.4kg눈바디로는 확실히 많이 빠진게 티가 나는데이렇게 빠지는게 맞는 거겠죠???빨리 빠져서 레깅스랑 스키니 쫙 입구싶어요 ㅠ_ㅠ
5,333725,2020.12.31. 23:26,멋진인생이야,올해 가기 전에 아가씨 몸매만들기 대성공,오늘이 2020년이 마지막이네요올해 가장 잘한일이 다이어트에요^^정체기를 벗어나 최저몸무게로한해를 마감하니 감개무량합니다ㅎㅎ식단조절을 하면서 관리를 해서 그런지체중감량이 많이되었는데감량된것보다 훨씬 날씬해보인다고주변에서 난리더라구요식사는 곤약볶음밥으로 과식한날 다음날에는 조절해서 먹고있어요정체기 벗어날때도 좋은듯해요^^제가 생각할때는 아가씨 몸매가된거 같은데어떠신가요?두달반정도 되었는데오늘은 진짜 연말인데도 기분이 좋네요♡자세도 진짜 좋아졌죠노력하는것만큼 몸도 알아주는것 같아요새해에는 우리 다같이 화이팅해요♡
6,333718,2020.12.31. 20:42,후유,어제복부람스하고왔어요 케바케인듯해영,발품팔아서 결국 처음상담한병원에서 하기러하고 화요일에 받고왔어요하기전에 아프다는글도많이보고 복부하고나서 허벅지예약취소했다는..그런글보고가서그런지 걱정많이했어요 ㅠㅠ한줄요약하자면 통증은케바케입니다!! 저는 안아팠어요(여기서부터 시술실에서느낀 모든것들)들어가서 시술대에누우면 듣고싶은 음악틀어준다고 물어보는데 이땐진짜 아무것도안들려요 ㅋㅋㅋㅋ 듣고싶은게있을리가...너무긴장상태라 아무거나틀어달라고했어욬ㅋ 시술할부위소독하고 얼굴위로 막?가림막같은거 안보이게 덮어줘요(위생상) 위생엄청신경쓰는듯하고 시술하는부위 외에는 다 덮힌다고보면될거같아요 무튼 첫째도위생둘째도위생 그런느낌? 시술직전에 둘레한번더 재고(86이얐어요) 소독다하고 원장님들어오시면 마취+지방녹이는용액 요로캐 같이 복부로 들어가요 바늘구멍은 총 4개였고 앞이안보이다보니 바늘꼽을때도 엄청 안아픈데 엄청긴장되는 ...뭔지아시죠 더 무섭고 겁나는.. 따끔정도인데 엄청아푼거같고... 그래서그냥 내살이아니다 생각했어요 ㅋㅋ 편안하게있자고 맘먹은순간 용액이랑 마취액들어왔고 느낌이 그 뱃살 반죽하는느낌? 쌔하면서 척추마사지느낌이라고하나.. 무튼전 그 용액들어올땐 정말하나도 안아팠어요... 원장님이 손으로 핸들링?하면서 용액이들어오고 (간호사언니도다리주물주물햐주심) 그래서그런지 아프단느낌은전혀못받았어요 그렇게 꿀렁꿀렁들어오다 뜨끔하는순간있는데 그때 따끔거리는정도였어요 간질?거리는느낌도있었고아무래도 시술이 길다보니 나중엔 간지러운지 아픈건지구분은못했지만.. 웃었어요......... 무튼 그 꿀렁꿀렁 들어오는 그느낌자체가 아프다고여기시는분들은 시술자체가 아픈기억으로남을거같아여 약2시간정도걸리는데 그 꿀렁거리는느낌이 대부분이라 (사람이느끼는 통증이 다다르기때문에) 이느낌자체가아프면 아프실거같아요 ㅠㅠㅠ 2차가순조롭게끝나서 3차는그냥 거저먹.. 지방뽑을때도 그 꿀렁거림이있는데 이건진짜 복부마사지 강도높게받는느낌이였어요 복부흔들흔들흔드는낌!(실제로원장님이 흔들고있는쥴..) 그렇게빼다가 좀아프다 느낀순간이 명치쪽?(윗배) 이랑 골반뼈쪽이였어요 ㅠㅠㅠ 원장님은 지방을많이빼서 근육?이랑닿아서그렇다고하시더라구여 근데 그땐 따끔거림이심했던거같아여 무튼저는 걱정과는다르게너무 잘잗고와서 ㅠㅠㅠ추후에알게된건데 이게 손으로하는거다보니 원장님들의 핸들링이무척중요하다고해여!!!전 원장님 핸들링이 복부흔드는느낌? 무튼 원장님잘만난듯 ㅠㅠ 이렇게 크게긴장없이 시술받고나와서그런지 멍도 다른분들에비해 조금들었다고하더라구요!!(시술후에톡해서물어봄)멍이원래 긴장한상태로 받으면 더많이생기잖아요 제몸에멍든거보고 나는진짜안아프긴했구나했어욬ㅋ 아참 나중에시술받을땐 시시콜콜한얘기도하고 음악도 윤딴딴노래로 틀어달라고했아요!@!ㅋㅋ 그럴여유까지생기는.. 시술후1일차사진이고 나중에더보여드릴게영 ㅎㅎ 아참저는 원래15보틀뽑으려다가 도중에3보틀추가해서 총18개뽑았네요!시술다끝나고 시술대에누워있을때 제눈으로 다확인했아요!!(저번에카페글보니까 뽑은갯수숨긴다하셔서...)글정리하자면고통은 케바케인것..원장님잘만나세요!마지막으로 받을때 절대 긴장하지마세요 ㅠㅠㅜ(안되는거알지만..추후에멍을위해..)
7,333716,2020.12.31. 18:31,아메리카노주세요,hpl과 메조주사 중 어떤게 더 효과있을까요?,한번 맞아볼까 하는데둘 중 어떤게 더 좋을까요?
8,333648,2020.12.31. 14:11,아오이지젤,허벅지 21일차인데 고민이에요 ㅜㅠ(헬프!!),허벅지 지흡 21일차인데 ㅜㅜ 7-9일째까지는 허벅지 안쪽이 매끈까진 아니라도 괜찮았는데 21일 차인 오늘은 안쪽이 더 볼록하고 다른부분은 더 빠졌어요 ㅠㅠ이게 정상인건가요? 안쪽이 괜찮았다가 갑자기 여기반 불룩하고 나머진 조금씩 빠지는게 보이는데 스트레스에요 ㅠㅠ이대로 멈춰버릴까봐 바본 후관리도 열심히 하고 있는데 말이에요 저와 같으신분 계신가요?
9,333644,2020.12.31. 13:37,신클래식,람스 후 일주일. 술 한잔 되나요?,팔 무한람스하고 딱 일주일됐는데.. 맥주 한잔 가능한가요?.. 
